row_index,rank,feature,feature_value,shap_value,abs_shap
134,3,num__SCHEDULED_DEPARTURE,0.3955448566746995,0.03033565733428986,0.03033565733428986
134,4,num__CARRIER_DELAY_RATE_DOW,2.2039038961020374,0.023316626140183417,0.023316626140183417
134,5,cat__TIME_OF_DAY_morning,0.0,0.02260433499809096,0.02260433499809096
135,1,num__SCHEDULED_DEPARTURE,0.1990768665927803,0.04091587549104134,0.04091587549104134
135,2,cat__TIME_OF_DAY_morning,0.0,0.033629131009197406,0.033629131009197406
135,3,num__ROUTE_DELAY_RATE,0.5400085683889746,0.03027331949228028,0.03027331949228028
135,4,cat__SEASON_fall,0.0,0.012894095072429081,0.012894095072429081
135,5,cat__TIME_OF_DAY_evening,0.0,-0.00702783018561604,0.00702783018561604
136,1,num__SCHEDULED_DEPARTURE,-1.6518584083895114,-0.0863968827325357,0.0863968827325357
136,2,cat__TIME_OF_DAY_morning,1.0,-0.04266559406529723,0.04266559406529723
136,3,num__ROUTE_DELAY_RATE,-0.4137509914882705,-0.019468635018665737,0.019468635018665737
136,4,cat__AIRLINE_WN,1.0,-0.01704518041823576,0.01704518041823576
136,5,cat__TIME_OF_DAY_evening,0.0,-0.012572494536148043,0.012572494536148043
137,1,num__SCHEDULED_DEPARTURE,0.3955448566746995,0.02775649057371311,0.02775649057371311
137,2,cat__TIME_OF_DAY_morning,0.0,0.020386899819391145,0.020386899819391145
137,3,cat__SEASON_winter,1.0,0.01630162816241409,0.01630162816241409
137,4,num__MONTH,-1.3382807362961495,0.014416288275024272,0.014416288275024272
137,5,num__CARRIER_DELAY_RATE,0.9509758155420798,0.013735275411477232,0.013735275411477232
138,1,num__ROUTE_DELAY_RATE,-0.7289125207854265,-0.034750965885396,0.034750965885396
138,2,cat__TIME_OF_DAY_morning,0.0,0.02267792605257,0.02267792605257
138,3,num__SCHEDULED_DEPARTURE,0.023289717572115703,0.02047323584737114,0.02047323584737114
138,4,num__CARRIER_DELAY_RATE_DOW,-0.8271442517528508,-0.02014906323897094,0.02014906323897094
138,5,num__CARRIER_DELAY_RATE,-1.5327753906460064,-0.017723231285201563,0.017723231285201563
139,1,num__ROUTE_DELAY_RATE,-1.335294949485776,-0.05149657830393153,0.05149657830393153
139,2,cat__TIME_OF_DAY_morning,0.0,0.03298430454913159,0.03298430454913159
139,3,num__SCHEDULED_DEPARTURE,-0.05943364667290292,0.03198650820407238,0.03198650820407238
139,4,num__CARRIER_DELAY_RATE_DOW,0.5901803352962283,0.014212948404720009,0.014212948404720009
139,5,cat__SEASON_fall,0.0,0.009908412565205254,0.009908412565205254
140,1,num__SCHEDULED_DEPARTURE,-1.0438416811886246,-0.039855382972739335,0.039855382972739335
140,2,num__ROUTE_DELAY_RATE,-0.7645889708422385,-0.03568984019378831,0.03568984019378831
140,3,cat__TIME_OF_DAY_morning,1.0,-0.02826228680152326,0.02826228680152326
140,4,num__CARRIER_DELAY_RATE_DOW,-1.3411683417843352,-0.01551224619074219,0.01551224619074219
140,5,num__CARRIER_DELAY_RATE,-1.5327753906460064,-0.014725314817646905,0.014725314817646905
141,1,num__SCHEDULED_DEPARTURE,-1.3002841103481824,-0.07048441110695194,0.07048441110695194
141,2,num__ROUTE_DELAY_RATE,-1.0216724851157823,-0.03910093832614393,0.03910093832614393
141,3,cat__TIME_OF_DAY_morning,1.0,-0.034441747652786035,0.034441747652786035
141,4,cat__TIME_OF_DAY_evening,0.0,-0.010382946921092753,0.010382946921092753
141,5,cat__SEASON_winter,0.0,-0.006547592500778592,0.006547592500778592
142,1,num__ROUTE_DELAY_RATE,-1.8299312669599894,-0.06390099993190688,0.06390099993190688
142,2,cat__TIME_OF_DAY_morning,1.0,-0.020839206568289227,0.020839206568289227
142,3,num__CARRIER_DELAY_RATE_DOW,-1.77721142023557,-0.02029516016057869,0.02029516016057869
142,4,num__CARRIER_DELAY_RATE,-1.5327753906460064,-0.01501577716504471,0.01501577716504471
142,5,cat__AIRLINE_DL,1.0,-0.009662060297939661,0.009662060297939661
143,1,num__SCHEDULED_DEPARTURE,-1.2072203255725362,-0.06703490774833654,0.06703490774833654
143,2,cat__TIME_OF_DAY_morning,1.0,-0.04017228005509423,0.04017228005509423
143,3,num__ROUTE_DELAY_RATE,-0.5636033963906184,-0.024640513116730746,0.024640513116730746
143,4,cat__AIRLINE_WN,1.0,-0.0156047063284268,0.0156047063284268
143,5,cat__TIME_OF_DAY_evening,0.0,-0.012515539648186405,0.012515539648186405
144,1,num__SCHEDULED_DEPARTURE,-1.3002841103481824,-0.07918248049673365,0.07918248049673365
144,2,cat__TIME_OF_DAY_morning,1.0,-0.035660141612956976,0.035660141612956976
144,3,cat__AIRLINE_WN,1.0,-0.029185278746407448,0.029185278746407448
144,4,num__ROUTE_DELAY_RATE,0.44705923444245554,0.026437506461602426,0.026437506461602426
144,5,cat__SEASON_winter,1.0,0.015463195967761294,0.015463195967761294
145,1,num__SCHEDULED_DEPARTURE,1.9155866746769168,0.05241951484295214,0.05241951484295214
145,2,num__ROUTE_DELAY_RATE,0.8828700784248557,0.04356311982592615,0.04356311982592615
145,3,cat__TIME_OF_DAY_morning,0.0,0.0339839576434315,0.0339839576434315
145,4,num__CARRIER_DELAY_RATE_DOW,1.001869518220096,0.016451505754766914,0.016451505754766914
145,5,num__CARRIER_DELAY_RATE,1.2331620163446775,0.011051126488423506,0.011051126488423506
146,1,cat__SEASON_fall,1.0,-0.04016757744391271,0.04016757744391271
146,2,num__SCHEDULED_DEPARTURE,0.054310979163997686,0.0353760428416308,0.0353760428416308
146,3,cat__TIME_OF_DAY_morning,0.0,0.032088221431185955,0.032088221431185955
146,4,num__ROUTE_DELAY_RATE,0.0014913710210614595,0.011129519189428266,0.011129519189428266
146,5,num__CARRIER_DELAY_RATE_DOW,0.03955352091127749,0.008530674822043238,0.008530674822043238
147,1,num__SCHEDULED_DEPARTURE,-1.4450499977769649,-0.07930011672892306,0.07930011672892306
147,2,cat__TIME_OF_DAY_morning,1.0,-0.036741839923970475,0.036741839923970475
147,3,num__ROUTE_DELAY_RATE,-0.7405946763117676,-0.02605233181750691,0.02605233181750691
147,4,cat__AIRLINE_WN,1.0,-0.022666331615000673,0.022666331615000673
147,5,cat__SEASON_winter,1.0,0.01649484453668947,0.01649484453668947
148,1,num__SCHEDULED_DEPARTURE,-1.6559945766017623,-0.07525743439447524,0.07525743439447524
148,2,cat__TIME_OF_DAY_morning,1.0,-0.0341959825376307,0.0341959825376307
148,3,cat__TIME_OF_DAY_evening,0.0,-0.011114645064865272,0.011114645064865272
148,4,cat__SEASON_fall,0.0,0.008049124323104024,0.008049124323104024
148,5,num__ROUTE_DELAY_RATE,0.000635949691447316,0.007049982334087872,0.007049982334087872
149,1,cat__SEASON_fall,1.0,-0.03337440616420508,0.03337440616420508
149,2,cat__TIME_OF_DAY_morning,1.0,-0.02915496039569916,0.02915496039569916
149,3,num__SCHEDULED_DEPARTURE,-1.0004119149599897,-0.026878178758324794,0.026878178758324794
149,4,num__ROUTE_DELAY_RATE,0.5303820077603277,0.02596707215980814,0.02596707215980814
149,5,cat__AIRLINE_WN,1.0,-0.01520640190224185,0.01520640190224185
150,1,num__SCHEDULED_DEPARTURE,-1.3933478951238283,-0.06316651826149382,0.06316651826149382
150,2,num__ROUTE_DELAY_RATE,-1.1635649800481243,-0.0413333952126527,0.0413333952126527
150,3,cat__TIME_OF_DAY_morning,1.0,-0.031140739124853097,0.031140739124853097
150,4,num__CARRIER_DELAY_RATE,-1.5327753906460064,-0.013399217726091593,0.013399217726091593
150,5,cat__TIME_OF_DAY_evening,0.0,-0.010706665185512065,0.010706665185512065
151,1,num__ROUTE_DELAY_RATE,-0.9742447750687618,-0.03784735635187417,0.03784735635187417
151,2,cat__SEASON_fall,1.0,-0.03261734545620129,0.03261734545620129
151,3,num__SCHEDULED_DEPARTURE,-1.0314331765518718,-0.028649523426811357,0.028649523426811357
151,4,cat__TIME_OF_DAY_morning,1.0,-0.019902429544308688,0.019902429544308688
151,5,num__CARRIER_DELAY_RATE_DOW,-1.3708314389516696,-0.01734440520995122,0.01734440520995122
152,1,num__SCHEDULED_DEPARTURE,-1.2485820076950456,-0.04886059203505056,0.04886059203505056
152,2,cat__SEASON_winter,1.0,0.02898805562056168,0.02898805562056168
152,3,num__MONTH,-1.6325881205090438,0.02627771012312337,0.02627771012312337
152,4,num__ROUTE_DELAY_RATE,0.2701943063233008,0.023686345741659807,0.023686345741659807
152,5,cat__TIME_OF_DAY_morning,1.0,-0.0223001632014666,0.0223001632014666
153,1,num__ROUTE_DELAY_RATE,2.274876264228182,0.058067824994102464,0.058067824994102464
153,2,num__SCHEDULED_DEPARTURE,1.4916294329211963,0.04003950698330755,0.04003950698330755
153,3,cat__TIME_OF_DAY_evening,1.0,0.03224640458083286,0.03224640458083286
153,4,num__CARRIER_DELAY_RATE_DOW,3.538242911616286,0.028181052651034405,0.028181052651034405
153,5,num__CARRIER_DELAY_RATE,3.400685234442856,0.025988663037373953,0.025988663037373953
154,1,num__SCHEDULED_DEPARTURE,1.4068379845700523,0.04449132315010047,0.04449132315010047
154,2,num__ROUTE_DELAY_RATE,-0.6961343537469745,-0.03426183860941819,0.03426183860941819
154,3,cat__TIME_OF_DAY_morning,0.0,0.03135854129039672,0.03135854129039672
